ni,cu,mo,cr,fe,w,mn,si,c,al,ti,v,nb,ta,acid con,temp,Corr
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,150,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,150,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,150,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,150,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,150,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,150,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,162.5,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,162.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,162.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,162.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,162.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,162.5,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,5,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,10,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,15,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,20,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,25,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,30,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,35,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,40,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,45,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,50,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,55,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,60,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,65,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,70,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,75,175,3
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,80,175,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,85,175,2
59,1.6,16,23,3,0,0.5,0.08,0.01,0.5,0,0,0,0,90,175,2
